"row_key","gid","probe_uid","cdt_historical_id","gpl_orf","gpl_feature_name","gpl_gene_symbol","current_sgd_id","current_systematic_id","current_standard_name","current_feature_type","current_qualifier","mapping_status","mean_p","mean_non_p","p_effect","p_consistency_count","median_p","median_non_p","background_mad","p_specificity_score","p_specificity_rank","fixed_threshold_member","top_133_score_member"
"A_06_P3127","GENE945X","A_06_P3127","YGL172W","YGL172W","YGL172W","NUP49","S000003140","YGL172W","NUP49","ORF","Verified","current",-0.51,-0.152666666666667,-0.357333333333333,0,-0.515,-0.13,0.155673,-1.50582971217141,5082,FALSE,FALSE
"A_06_P1907","GENE3782X","A_06_P1907","YDL173W","YDL173W","YDL173W","ORF:YDL173W","S000002332","YDL173W","PAR32","ORF","Verified","current",-0.621666666666667,0.0883333333333333,-0.71,0,-0.595,0.115,0.37065,-1.50855200254967,5083,FALSE,FALSE
"A_06_P2709","GENE5219X","A_06_P2709","YER078C","YER078C","YER078C","ORF:YER078C","S000000880","YER078C","ICP55","ORF","Verified","current",-0.915,-0.187333333333333,-0.727666666666666,0,-0.905,-0.16,0.392889,-1.5114965032695,5084,FALSE,FALSE
"A_06_P1942","GENE4291X","A_06_P1942","YDL207W","YDL207W","YDL207W","GLE1","S000002366","YDL207W","GLE1","ORF","Verified","current",-0.09,0.481333333333333,-0.571333333333333,0,-0.12,0.38,0.229803,-1.51605655497373,5085,FALSE,FALSE
"A_06_P2551","GENE3040X","A_06_P2551","YEL012W","YEL012W","YEL012W","UBC8","S000000738","YEL012W","UBC8","ORF","Verified","current",-0.201666666666667,0.624,-0.825666666666667,0,-0.11,0.57,0.348411,-1.51646592077358,5086,FALSE,FALSE
"A_06_P2485","GENE4771X","A_06_P2485","YDR492W","YDR492W","YDR492W","ORF:YDR492W","S000002900","YDR492W","IZH1","ORF","Verified","current",-1.03333333333333,-0.0963333333333333,-0.937,0,-1.095,-0.1,0.555975,-1.51682609855559,5087,FALSE,FALSE
"A_06_P2319","GENE771X","A_06_P2319","YDR328C","YDR328C","YDR328C","SKP1","S000002736","YDR328C","SKP1","ORF","Verified","current",-0.621666666666667,0.00100000000000001,-0.622666666666667,0,-0.645,-0.065,0.281694,-1.51954183193867,5088,FALSE,FALSE
"A_06_P4498","GENE2124X","A_06_P4498","YKL088W","YKL088W","YKL088W","ORF:YKL088W","S000001571","YKL088W","CAB3","ORF","Verified","current",-0.516666666666667,-0.006,-0.510666666666667,0,-0.465,-0.02,0.192738,-1.52013062875336,5089,FALSE,FALSE
"A_06_P2817","GENE2067X","A_06_P2817","YER185W","YER185W","YER185W","ORF:YER185W","S000000987","YER185W","PUG1","ORF","Verified","current",-0.921666666666667,0.106666666666667,-1.02833333333333,0,-0.95,-0.075,0.474432,-1.52324383042727,5090,FALSE,FALSE
"A_06_P2398","GENE2521X","A_06_P2398","YDR405W","YDR405W","YDR405W","MRP20","S000002813","YDR405W","MRP20","ORF","Verified","current",-1.70666666666667,-0.921333333333333,-0.785333333333333,0,-1.8,-0.845,0.526323,-1.52477236186441,5091,FALSE,FALSE
"A_06_P3423","GENE1466X","A_06_P3423","YGR202C","YGR202C","YGR202C","PCT1","S000003434","YGR202C","PCT1","ORF","Verified","current",-0.748333333333333,-0.259666666666667,-0.488666666666667,0,-0.77,-0.12,0.326172,-1.52520578545751,5092,FALSE,FALSE
"A_06_P1845","GENE4140X","A_06_P1845","YDL114W-A","YDL114W-A","YDL114W-A","ORF:YDL114W-A","S000007598","YDL114W-A","","ORF","Dubious","current",-0.625,-0.148333333333333,-0.476666666666667,1,-0.685,-0.145,0.252042,-1.53390788599088,5093,FALSE,FALSE
